SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
C#CC,1,2,127.28,126.5,C-C
C#CC#C,1,2,161.9,160.2,C-C
C#CC(C)(C)C,2,3,76.2,70.7,C-C
C#CC(C)C,2,3,77.88,73,C-C
C#CC=C,1,2,137.2,136.8,C-C
C#CCC,1,2,124.88,124.5,C-C
C#CCC,2,3,79.58,76.6,C-C
C#CCCCC,2,3,78.42,73.2,C-C
C#CCCO,2,3,77.47,73,C-C
C#CCCc1ccccc1,2,3,67.7,61.4,C-C
C#Cc1ccccc1,1,2,139.08,141.2,C-C
C/C=C/C,0,1,101.48,101.6,C-C
C/C=C/C(C)(C)C,2,3,96.14,96.6,C-C
C/C=C/C(C)C,2,3,97.69,99.5,C-C
C/C=C/C=O,2,3,98.62,97.8,C-C
C/C=C\C,0,1,100.24,102.6,C-C
C/C=C\C(C)(C)C,2,3,91.71,100.5,C-C
C/C=C\C(C)C,2,3,96.29,100.5,C-C
C=C(C)C(C)C,1,3,93.84,92,C-C
C=C(C)CC(C)(C)C,3,4,71.83,68.6,C-C
C=C(C)CC(C)C,3,4,74.7,71.6,C-C
C=C/C=C/C,1,2,115.25,117.2,C-C
C=C/C=C\C,1,2,113.79,118.5,C-C
C=C=CC,2,3,81.77,86,C-C
C=CC,1,2,101.14,101.9,C-C
C=CC(=C)C,1,2,111.55,108.8,C-C
C=CC(=O)O,1,2,105.55,104.1,C-C
C=CC(=O)OC,1,2,104.81,106.2,C-C
C=CC(C)(C)C,1,2,95.92,97.7,C-C
C=CC(C)(C)C,2,3,72.84,67.5,C-C
C=CC(C)CC,2,4,72.6,70.8,C-C
C=CC1CCCCC1,1,2,98.3,91.3,C-C
C=CC=C,1,2,114.35,116.9,C-C
C=CCC,2,3,75.88,75.9,C-C
C=CCC(C)C,1,2,99.81,100.6,C-C
C=CCC(C)C,2,3,73.02,74.1,C-C
C=CCC=C,1,2,85.73,87.2,C-C
C=CCCC,2,3,74.33,74.3,C-C
C=CCCC(C)C,2,3,74.81,73.2,C-C
C=CCCC=C,2,3,61.08,61.5,C-C
C=CCCCC,1,2,99.31,100.6,C-C
C=CCCCC,2,3,74.55,75,C-C
C=CCCCCC,1,2,99.35,99.5,C-C
C=CCCCCC,2,3,74.47,74.3,C-C
C=CCCCCCC,2,3,74.48,73.3,C-C
C=CCCc1ccccc1,2,3,64.13,61.4,C-C
C=CCO,1,2,97.16,97.1,C-C
C=CCc1ccccc1,1,2,88.67,89.2,C-C
C=CCc1ccccc1,2,3,87.53,87.6,C-C
C=Cc1ccc(CC)cc1,6,7,77.39,70.6,C-C
C=Cc1ccccc1,1,2,114.23,115.2,C-C
CC,0,1,90.68,90.2,C-C
CC#CC,0,1,125.94,121.8,C-C
CC#CC(C)C,3,4,77.43,76.7,C-C
CC#CCC,3,4,78.7,73.7,C-C
CC(=O)C(C)(C)C,1,3,79,78.7,C-C
CC(=O)C(C)=O,1,3,74.12,73.4,C-C
CC(=O)C(C)C,1,3,80.88,81.3,C-C
CC(=O)C=O,1,3,73.05,72.3,C-C
CC(=O)Cc1ccccc1,1,3,72.5,71.4,C-C
CC(=O)c1ccccc1,0,1,85.43,85,C-C
CC(=O)c1ccccc1,1,3,97.2,97.6,C-C
CC(C(=O)O)C(C)C(=O)O,1,5,72.32,66.7,C-C
CC(C)(C)C,0,1,86.71,86.9,C-C
CC(C)(C)C(C)(C)C,1,4,76.73,77.1,C-C
CC(C)(C)CC(C)(C)C,1,4,78.8,77.9,C-C
CC(C)(C)CO,1,4,83.45,84.6,C-C
CC(C)(C)c1ccccc1,1,0,75.51,72.5,C-C
CC(C)(C)c1ccccc1,1,4,95.68,95.8,C-C
CC(C)(c1ccccc1)c1ccccc1,1,0,71.97,69.5,C-C
CC(C)=O,1,2,84.86,84.1,C-C
CC(C)C,0,1,87.66,88.2,C-C
CC(C)C(C)(C)C,1,3,80.18,81.5,C-C
CC(C)C(C)C,1,3,82.62,84.5,C-C
CC(C)C(C)O,1,3,82.47,83.9,C-C
CC(C)C(c1ccccc1)c1ccccc1,1,3,67.67,73.6,C-C
CC(C)C=O,1,3,82.1,82.5,C-C
CC(C)CC(=O)O,3,4,95.41,91.6,C-C
CC(C)CC(C)(C)C,1,3,83.44,83.3,C-C
CC(C)CC(C)C,1,3,85.77,85.9,C-C
CC(C)CCC(C)(C)C,3,4,87.19,85.9,C-C
CC(C)CCC(C)C,3,4,87.56,86.6,C-C
CC(C)CO,1,3,84.35,84.8,C-C
CC(C)Cc1ccccc1,1,3,76.12,75.8,C-C
CC(C)Cc1ccccc1,3,4,101.78,100.7,C-C
CC(C)c1ccccc1,1,3,98.5,98.9,C-C
CC(N)C(=O)O,1,3,86.93,79.2,C-C
CC(O)C(C)O,1,3,83.81,90.5,C-C
CC(O)CO,1,3,84.67,86.2,C-C
CC(c1ccccc1)c1ccccc1,0,1,72.43,75.5,C-C
CC/C=C/c1ccccc1,0,1,71.45,70.6,C-C
CC1C=CCC1,0,1,74.22,71.5,C-C
CC1C=Cc2ccccc21,0,1,69.56,72.4,C-C
CC1CCCC1,0,1,85.67,85.6,C-C
CC1CCCCC1,0,1,88.65,90.1,C-C
CC1CO1,0,1,97.17,93.5,C-C
CC=C=O,0,1,93.42,93.3,C-C
CC=O,0,1,85.39,84.8,C-C
CCC,0,1,89,88.5,C-C
CCC(=O)C(C)(C)C,2,4,79.46,78.8,C-C
CCC(=O)C(C)=O,2,4,74.8,72.2,C-C
CCC(=O)C(C)C,2,4,81.64,81.6,C-C
CCC(=O)CC,2,4,84.3,81.4,C-C
CCC(=O)O,0,1,86.96,84.5,C-C
CCC(=O)O,1,2,94.99,90.8,C-C
CCC(=O)c1ccccc1,1,2,84.01,82.2,C-C
CCC(C)(C)C,1,2,83.82,84.5,C-C
CCC(C)(C)C,0,1,86.2,86.3,C-C
CCC(C)(C)C(C)C,2,5,79.97,79.6,C-C
CCC(C)(C)CC,1,2,83.73,83.5,C-C
CCC(C)=O,0,1,84.71,86.5,C-C
CCC(C)=O,1,2,83.67,83,C-C
CCC(C)=O,0,1,85.62,84.6,C-C
CCC(C)C,0,1,89.13,88,C-C
CCC(C)C,1,2,85.44,86.1,C-C
CCC(C)C,2,3,87.39,88.5,C-C
CCC(C)C(C)(C)C,2,4,79.46,80.4,C-C
CCC(C)C(C)C,2,4,82.45,84.7,C-C
CCC(C)C(C)CC,2,4,81.93,83.3,C-C
CCC(C)CC,1,2,84.93,85.7,C-C
CCC(C)CC,0,1,86.91,87.4,C-C
CCC(C)CC(C)C,2,4,85.29,85.3,C-C
CCC(C)CO,2,4,84.02,84.3,C-C
CCC(C)O,1,2,84.82,86,C-C
CCC(C)c1ccccc1,1,2,75.64,74.6,C-C
CCC(CC)C(C)C,2,5,81.5,82.7,C-C
CCC(CC)CC,1,2,84.63,85,C-C
CCC1CCC1,1,2,88.66,86.1,C-C
CCC1CCCC1,1,2,83.83,84,C-C
CCC1CCCCC1,1,2,86.26,87.4,C-C
CCCC,0,1,89.3,88.9,C-C
CCCC,1,2,87.33,86.8,C-C
CCCC(=O)CC,2,3,84.53,82.3,C-C
CCCC(=O)O,1,2,85.24,82.6,C-C
CCCC(=O)O,2,3,95.25,91,C-C
CCCC(C)(C)C,2,3,83.94,84.6,C-C
