SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
C,0,0,102.2,105,C-H
CC,0,0,98.12,100.5,C-H
CCC,1,1,94.63,98.1,C-H
CCC,0,0,98.13,100.9,C-H
CC(C)C,1,1,93.09,95.7,C-H
CC(C)C,0,0,98.79,100.2,C-H
CCCC,1,1,95.78,98.3,C-H
CCCC,0,0,99.17,100.7,C-H
CC(C)(C)C,0,0,100.04,100.3,C-H
CCCCC,1,1,94.68,99.2,C-H
CCCCC,0,0,98.49,100.2,C-H
CCC(C)C,2,2,93.65,95.8,C-H
CC(C)C(C)C,1,1,93.85,95.4,C-H
CCC(C)CC,2,2,94.13,95.5,C-H
CCC(C)(C)C,1,1,95.54,98,C-H
CCCCCC,2,2,95.49,99.1,C-H
CCCCCC,1,1,95.19,98,C-H
CCCCCC,0,0,98.66,99,C-H
CCCC(C)CC,3,3,94.26,94.9,C-H
CC(C)CC(C)C,3,3,96.02,95.6,C-H
CCCCCCC,3,3,94.44,99.4,C-H
CCCCCCC,2,2,95.09,99.1,C-H
CCCCCCC,1,1,94.39,98,C-H
CC(C)C(C)(C)C,1,1,93.14,95.5,C-H
CCCCCCCC,3,3,95.09,99.4,C-H
CCCCCCCC,2,2,95.09,99.1,C-H
CC(C)CC(C)(C)C,1,1,90.49,95.6,C-H
CC(C)CCC(C)C,1,1,93.88,95.6,C-H
CCCCCC(C)CC,5,5,94.16,94.8,C-H
CC(C)CCC(C)(C)C,1,1,93.76,95.4,C-H
C#C,0,0,129.27,133.32,C-H
C=C,0,0,107.33,110.9,C-H
C#CC,0,0,130.23,130.2,C-H
C#CC,2,2,89.66,91.8,C-H
C=CC,2,2,85.93,88.2,C-H
C=CC,0,0,108.74,111.1,C-H
C#CC#C,0,0,131.26,128.8,C-H
CC#CC,0,0,88.7,90.7,C-H
C=CC=C,1,1,105.57,102.2,C-H
C#CCC,2,2,86.18,89.1,C-H
C=CCC,2,2,82.2,85.6,C-H
C=CCC,3,3,98.98,98.2,C-H
C=C(C)C,2,2,87.15,89.1,C-H
C/C=C\C,0,0,83.37,85,C-H
C=CC#CC,4,4,85.6,86.8,C-H
CC=C=CC,0,0,87.52,87.2,C-H
C=CCC=C,2,2,69.77,76.6,C-H
C=C/C=C/C,4,4,79.05,83,C-H
C#CC(C)C,2,2,66.12,82.5,C-H
C#CCCC,2,2,86.95,83.6,C-H
CC#CCC,3,3,85.36,87.3,C-H
C=CC(C)C,3,3,98.81,100.9,C-H
C=CC(C)C,2,2,80.02,79.5,C-H
C=C(C)CC,3,3,84.22,83,C-H
C=CCCC,2,2,82.56,83.4,C-H
C/C=C/CC,3,3,83.02,82.2,C-H
C=C(C)CC,3,3,81.1,87.9,C-H
C/C=C(C)\C,3,3,85.79,84.2,C-H
C=CC(C)C=C,2,2,71.59,77,C-H
CC#CC(C)C,3,3,83.19,82.3,C-H
C=C(C)C(=C)C,2,2,89.77,89.6,C-H
C#CC(=O)OC,0,0,130.73,132,C-H
C=C(C)C(C)C,3,3,82.16,83.9,C-H
C/C=C\C(C)C,3,3,82.55,79.8,C-H
CC/C=C(C)\C,2,2,80.64,79.3,C-H
C=CCCCC,2,2,82.78,83.4,C-H
C/C(C)=C(C)\C,0,0,83.08,84.3,C-H
C#Cc1ccccc1,0,0,128.4,133,C-H
C/C=C/CCCCC,3,3,82.7,81.9,C-H
C=CCCCCCC,2,2,82.39,83.4,C-H
C=CCCCCCC=C,2,2,82.77,83.6,C-H
C/C=C\CCCCCC,3,3,81.17,82.2,C-H
CCCCC#CCCCC,3,3,85.97,83.2,C-H
C/C=C\CCCC/C=C\C,3,3,81.09,81.6,C-H
C/C=C/CCCC/C=C/CC,3,3,82.63,81.6,C-H
C=CCCCCCCCCCCCCCC,2,2,81.95,83.4,C-H
C1=CC1,2,2,97.69,104.4,C-H
C1=CC1,0,0,108.3,110.4,C-H
C1CC1,0,0,105.57,106.3,C-H
C1=CCC1,0,0,109.14,112.5,C-H
C1=CCC1,2,2,89.42,91.2,C-H
C1C2CC12,1,1,111,102,C-H
CC1CC1,0,0,95.98,97.4,C-H
C1CCC1,0,0,95.49,97.8,C-H
CC1(C)C=C1,3,3,104.34,106.7,C-H
C1=CCCC1,2,2,81.62,81.9,C-H
C1CCCC1,0,0,93.24,95.6,C-H
CC1C=CC=C1,1,1,80.09,85.6,C-H
C1=CCCC=C1,2,2,70.99,74.3,C-H
CC1=CC=CC1,0,0,80.96,86.5,C-H
C1=CCC=CC1,2,2,73.73,76,C-H
C1=CCCCC1,2,2,82,81.6,C-H
C1CCCCC1,0,0,95.8,99.5,C-H
CC1CCCC1,1,1,91.36,93.7,C-H
C1=CCCCC=C1,2,2,76.19,83,C-H
CC1C=CCCC1,1,1,79.4,79.5,C-H
CC1=CCCCC1,3,3,81.83,81,C-H
CCC1CCCC1,2,2,91.87,93.7,C-H
CC1CCCCC1,1,1,93.87,94.3,C-H
C1CCCCCC1,0,0,94.4,94,C-H
CC(C)=c1cccc1,0,0,76.25,84.5,C-H
C/1=C/CC/C=C\CC1,2,2,70.19,79.3,C-H
C/1=C/CCCCC=C1,2,2,83.99,83,C-H
C=CC1CCCCC1,2,2,81.5,81.7,C-H
C/1=C/CCCCCC1,2,2,85.51,85.4,C-H
CC1CC=CCC1C,2,2,82.37,78,C-H
C1CCCCCCC1,0,0,85.4,95.7,C-H
CC1CCCCCC1,1,1,91.66,93.2,C-H
CCC1CCCCC1,2,2,94.35,94.5,C-H
CC1CCCCCCC1,1,1,83.47,94.4,C-H
CCC1CCCCCC1,2,2,91.74,93.8,C-H
C2=C(c1ccccc1)CC2,8,8,90.41,85.6,C-H
CC1=C(C)C(C)C(C)=C1C,4,4,76.29,77,C-H
CCC1CCCCCCC1,2,2,91.27,93.7,C-H
c2ccc(C1CCCC1)cc2,4,4,80.21,81.9,C-H
c2ccc(C1CCCCC1)cc2,4,4,86.84,85.2,C-H
C2CCC(C1CCCCC1)CC2,3,3,93.94,92.3,C-H
ClC(Cl)(Cl)C1CCCCC1,4,4,94.49,93.5,C-H
c1ccccc1,0,0,109.66,112.8,C-H
Cc1ccccc1,0,0,88.76,89.7,C-H
Cc1ccccc1,4,4,110.02,113.5,C-H
C=Cc1ccccc1,1,1,99.98,98.4,C-H
c2ccc1CCc1c2,4,4,91.36,92,C-H
CCc1ccccc1,1,1,85.06,85.4,C-H
Cc1ccccc1C,0,0,88.45,89.5,C-H
Cc1ccc(C)cc1,0,0,88.41,89,C-H
Cc1cccc(C)c1,0,0,88.47,89.5,C-H
Cc1ccc(F)cc1,0,0,88.59,88.7,C-H
Cc1cccc(F)c1,0,0,88.7,89.4,C-H
N#CCc1ccccc1,2,2,80.82,81.5,C-H
Cc1cccc(C#N)c1,0,0,89.34,88.7,C-H
Cc1ccc(C#N)cc1,0,0,88.23,88,C-H
C=CCc1ccccc1,2,2,76.49,84.4,C-H
c2ccc(C1CC1)cc2,4,4,94,92.1,C-H
C/C=C/c1ccccc1,0,0,79.69,78.9,C-H
c2ccc1CCCc1c2,4,4,85.54,85.3,C-H
CCCc1ccccc1,2,2,84.97,86.1,C-H
CCc1ccc(C)cc1,6,6,88.23,87,C-H
Cc1ccc(C)c(C)c1,5,5,88.32,89.1,C-H
CC(C)c1ccccc1,1,1,84.28,83.2,C-H
Cc1cc(C)cc(C)c1,0,0,88.57,89.4,C-H
Cc1cccc(C)c1C,0,0,88.66,89.5,C-H
O=C(O)c1ccccc1,7,7,109.7,113.8,C-H
O=C(O)c1ccccc1,6,6,110.03,114,C-H
O=C(O)c1ccccc1,5,5,110.51,114.5,C-H
Cc1cccc(C=O)c1,0,0,88.9,90.5,C-H
Cc1ccc(C=O)cc1,0,0,87.89,86.6,C-H
Clc1ccccc1,4,4,89.23,89,C-H
Clc1ccccc1,3,3,89.03,89.9,C-H
c2ccc1ccccc1c2,1,1,109.6,111.9,C-H
c2ccc1ccccc1c2,2,2,109.99,112.2,C-H
C2=Cc1ccccc1CC2,9,9,73.69,80.4,C-H
C2=C(c1ccccc1)CC2,9,9,84.33,85.6,C-H
c2ccc1CCCCc1c2,4,4,84.2,85.5,C-H
CC(C)(C)c1ccccc1,0,0,98.82,98.6,C-H
Cc1ccccc1C(C)C,0,0,88.41,87.6,C-H
CCc1ccc(CC)cc1,1,1,85.42,86.5,C-H
Cc1cccc(C(C)C)c1,0,0,88.33,86.8,C-H
COCc1ccc(C)cc1,7,7,88.07,85.4,C-H
N#CC1=CCc2ccccc12,4,4,76.74,77.9,C-H
Cc2ccc1ccccc1c2,0,0,88.15,85.6,C-H
Cc1cccc2ccccc12,0,0,87.85,85.1,C-H
COC1=CCc2ccccc12,4,4,76.01,76.4,C-H
c2ccc(C1CCCC1)cc2,4,4,80.19,88,C-H
C2=Cc1ccccc1C2,8,8,78.35,83,C-H
CC2CCCc1ccccc12,1,1,81.58,80.4,C-H
COC(C#N)c1ccccc1,2,2,72.87,76.2,C-H
Cc1cccc(C)c1C(C)C,8,8,86.24,86.7,C-H
Cc1ccc(C(C)(C)C)cc1,0,0,88.37,89.3,C-H
c1cc2CCc3cccc(c1)c23,3,3,83.41,84,C-H
Brc1ccccc1,4,4,110.31,115.5,C-H
Cc2ccc1cc(C)ccc1c2,0,0,87.98,86.8,C-H
CCc2ccc1ccccc1c2,1,1,85.41,87.1,C-H
CCc1cccc2ccccc12,1,1,84.32,87.1,C-H
Cc1cccc2c(C)cccc12,0,0,88.43,86.8,C-H
Cc2cc1ccccc1cc2C,0,0,87.76,86.8,C-H
C2=CC1CCCC3=C1C(=C2)CC3,11,11,75.23,78.8,C-H
NC(=O)C1=CCc2ccccc12,5,5,77.15,77.7,C-H
Cc1ccc(Cl)cc1Cl,0,0,89.22,88.6,C-H
Cc1ccc(Cl)c(Cl)c1,0,0,88.77,88.3,C-H
CC2CCc1ccccc1C2C,10,10,79.79,80.5,C-H
c2ccc(C1CCCCC1)cc2,4,4,86.84,85.2,C-H
CSC1=CCc2ccccc12,4,4,74.36,74.1,C-H
Cc1c(C)c(C)c(C)c(C)c1C,0,0,87.97,88.6,C-H
CCc1ccc(C(C)(C)C)cc1,1,1,85.11,86.5,C-H
