SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
Cc1cc(O)ccc1O,8,8,79.63226,83.6,O-H
COc1ccc(O)cc1,6,6,81.6308475,85.1,O-H
COc1cccc(O)c1,7,7,88.9713425,88.4,O-H
COc1ccccc1O,8,8,80.9732275,86.6,O-H
OCc1ccc(O)cc1,6,6,85.1636725,85.7,O-H
Cc1ccc(O)c(O)c1,5,5,81.07049,79.6,O-H
Cc1cccc(O)c1O,6,6,78.11371,80.4,O-H
Oc1cccc(O)c1O,8,8,79.008525,78.6,O-H
Oc1cc(O)cc(O)c1,0,0,90.13661,88.8,O-H
Oc1ccc(Cl)cc1,0,0,83.4869925,91.1,O-H
Oc1ccccc1Cl,0,0,85.9869525,86,O-H
CC(=O)c1ccc(O)cc1,7,7,89.0704875,88.8,O-H
CC(=O)c1cccc(O)c1,8,8,88.18383,90,O-H
CC(=O)c1ccccc1O,9,9,83.165085,86.8,O-H
Oc2ccc1OCCc1c2,0,0,79.894555,81.3,O-H
Cc1cc(C)c(O)cc1C,6,6,82.4365575,85.3,O-H
Cc1cc(C)c(O)c(C)c1,6,6,81.0121325,81.8,O-H
CN(C)c1ccc(O)cc1,7,7,76.932755,78.6,O-H
O=C(O)c1ccccc1O,9,9,100.1885325,93.9,O-H
O=C(O)c1cccc(O)c1,8,8,88.8470975,91.7,O-H
O=C(O)c1ccc(O)cc1,7,7,89.8372925,88.8,O-H
Cc1cc(O)c(C)cc1O,4,4,79.3856525,83.2,O-H
Cc1c(C)c(O)ccc1O,9,9,79.4885625,82.6,O-H
CN(C)c1ccc(O)cn1,7,7,76.6554,77,O-H
Cc1nc(C)c(O)c(C)n1,6,6,82.54135,85.2,O-H
Oc1cccc2ccccc12,0,0,80.9004375,84.5,O-H
Oc2ccc1ccccc1c2,0,0,84.457735,84.6,O-H
Cc1cc(C#N)cc(C)c1O,10,10,84.8147825,84.6,O-H
Cc2nc1cc(O)ccc1[nH]2,6,6,83.993385,84,O-H
CC(C)(C)c1ccccc1O,10,10,84.5123275,84.6,O-H
Cc1cc(C)c(C)c(O)c1C,8,8,81.8429425,83.1,O-H
CC(C)(C)c1ccc(O)cc1,8,8,85.7346975,86.1,O-H
Cc1cc(C)c(O)c(C)c1C,6,6,80.860905,83.9,O-H
Cc1cc(CN)cc(C)c1O,10,10,81.483385,83.2,O-H
Oc2ccc1SCCc1c2,0,0,81.003975,80.5,O-H
COC(=O)c1ccc(O)cc1,8,8,89.261875,88.9,O-H
COc1ccc(O)c(C)c1C,6,6,83.754935,79.2,O-H
COc1cc(C)c(O)c(C)c1,7,7,77.547705,77.6,O-H
COc1cccc(OC)c1O,10,10,82.025545,82.1,O-H
COc1ccc(O)c(OC)c1,6,6,75.4499725,81.5,O-H
COc1cc(O)cc(OC)c1,5,5,88.1217075,86.7,O-H
COc1nc(C)nc(C)c1O,10,10,87.2833675,82.48,O-H
Cc1cc(Cl)cc(C)c1O,9,9,81.8027825,84,O-H
Oc2ccc1ccccc1c2O,11,11,79.4647175,71.4,O-H
Oc1ccc(O)c2ccccc12,0,0,75.9168325,79.7,O-H
Oc1cccc2c(O)cccc12,0,0,80.33255,83.6,O-H
Oc2cc1ccccc1cc2O,0,0,86.9708725,78.6,O-H
Oc2ccc1ccc(O)cc1c2,0,0,85.6054325,82.7,O-H
Oc2cc(O)c1ccccc1c2,4,4,81.8705525,78.1,O-H
Oc2ccc(n1ccnc1)cc2,0,0,85.7095975,85.3,O-H
Oc2cccc(n1ccnc1)c2,0,0,89.01715,89,O-H
Oc1ccccc1n2ccnc2,0,0,84.628415,83.6,O-H
Oc1cc(Cl)cc(Cl)c1,0,0,86.596255,92.3,O-H
Oc1cc(Cl)ccc1Cl,0,0,86.84851,85,O-H
Cc2cc1[nH]cnc1c(C)c2O,11,11,79.528095,82.9,O-H
O=C(O)/C=C/c1cccc(O)c1,10,10,88.49758,86,O-H
O=C(O)/C=C/c1ccc(O)cc1,9,9,85.8150175,84.3,O-H
O=C(O)/C=C/c1ccccc1O,11,11,85.7234025,88.1,O-H
O=CCCCc1ccccc1O,11,11,85.2377175,86.9,O-H
Cc1c(C)c(C)c(O)c(C)c1C,7,7,79.23568,81.4,O-H
Cc1ccc(O)c(C(C)(C)C)c1,5,5,82.2533275,86.2,O-H
Cc1cc(C(C)(C)C)ccc1O,11,11,83.75368,86,O-H
O=C(O)CCc1ccc(O)cc1,9,9,85.96499,85.8,O-H
CCOC(=O)c1cccc(O)c1,10,10,89.5185225,89.8,O-H
O=C(O)CCc1ccccc1O,11,11,85.439145,85.9,O-H
