smi,id,qm,nmr,type
C(Cl)Cl,0,117.44,53.7,C
C(Cl)(Cl)Cl,0,82.87,77.2,C
CO,0,134.61,49.8,C
CN(=O)=O,0,121.35,63,C
C(C)(Cl)(Cl)Cl,0,61.88,95.2,C
C(C)(Cl)(Cl)Cl,1,139.31,45.4,C
CCN(=O)=O,0,175.73,12.4,C
CCN(=O)=O,1,113.17,70.9,C
[SiH](C)(C)Cl,2,185.06,1.27,C
C=C(Cl)Cl,1,40.47,128.9,C
C=C(Cl)Cl,0,61.48,115.5,C
C(=C\Cl)/Cl,0,53.75,120.3,C
C(=O)C,0,-25.61,199.7,C
C(=O)C,2,153.19,30.7,C
O1CC1,1,147.19,39.5,C
S(=O)(C)C,2,142.22,40.6,C
S1CC1,1,166.39,18.7,C
C(=O)(Cl)C,0,1.6,170.3,C
C(=O)(Cl)C,3,151.39,33.7,C
C(#N)C,0,57.3,117.4,C
C(#N)C,2,186.24,1.7,C
C1CC1,0,190.58,-2.9,C
C(C)(C)Cl,0,123.45,53.6,C
C(C)(C)Cl,1,159.4,27.4,C
C=C(C)Cl,0,68.86,112.63,C
C=C(C)Cl,1,32.24,138.56,C
C=C(C)Cl,2,159.42,26.05,C
C=CCCl,0,61.63,118.3,C
C=CCCl,1,42.09,134.4,C
C=CCCl,2,133.77,45.1,C
C(=O)(C)C,0,-30.98,205.8,C
C(=O)(C)C,2,155.49,30.6,C
C1COC1,0,164.09,22.9,C
C1COC1,1,113.02,72.6,C
C(=O)(C)OC,0,6.85,171.2,C
C(=O)(C)OC,2,166.97,20.4,C
C(=O)(C)OC,4,131.34,51.4,C
C(=O)N(C)C,0,20.32,162.5,C
C(=O)N(C)C,3,157.78,31.1,C
C(=O)N(C)C,4,151.34,36.1,C
C(=O)(C)C(Cl)(Cl),0,-11.14,187.44,C
C(=O)(C)C(Cl)(Cl),2,162.43,21.51,C
CCC#N,2,53.65,121,C
CCC#N,1,173.65,10.6,C
CCC#N,0,175.7,10.9,C
C[C@@H](C#N)Cl,1,162.49,23.4,C
C[C@@H](C#N)Cl,0,139.2,37.83,C
C[C@@H](C#N)Cl,2,57.83,117.9,C
c1ccon1,0,31.05,149.08,C
c1ccon1,1,78.8,103.61,C
c1ccon1,2,22.19,157.81,C
C(=C)(C)C,0,29.53,141.35,C
C(=C)(C)C,1,74.4,110.57,C
C(=C)(C)C,2,162.03,23.45,C
C1CCC1,0,166.87,23.3,C
C(#CC)C,0,184.55,3.33,C
C(#CC)C,1,106.05,74.56,C
C1CCC1,1,41.25,137.2,C
C1CCC1,0,154.26,30.2,C
CC(C)(C)Cl,1,109.79,66.5,C
CC(C)(C)Cl,2,152.61,34.5,C
CC(C)(C)N(=O)=O,1,96.63,85.2,C
CC(C)(C)N(=O)=O,0,157.58,27.8,C
C(=CCl)(C)C,1,68.08,111.64,C
C(=CCl)(C)C,0,35.5,134.91,C
C(=CCl)(C)C,4,168.59,22.85,C
C(=CCl)(C)C,3,163.52,18.16,C
C1OCCC1,0,116.57,68,C
C1OCCC1,3,161.02,26,C
C(=O)(C)N(C)C,0,12.2,170,C
C(=O)(C)N(C)C,5,154.92,34.8,C
C(=O)(C)N(C)C,4,150.36,37.9,C
C(=O)(C)N(C)C,2,163.85,21.4,C
C1CC(=O)C1,2,-35.13,208.9,C
C1CC(=O)C1,1,137.29,47.8,C
C1CC(=O)C1,0,175.94,9.9,C
C1COC(=O)C1,3,1.05,177.9,C
C1COC(=O)C1,5,156.06,27.7,C
C1COC(=O)C1,0,160.85,22.2,C
C1COC(=O)C1,1,117.16,68.6,C
CC(C)C#N,3,51.05,123.83,C
CC(C)C#N,1,162.88,19.87,C
CC(C)C#N,2,167.08,19.98,C
c1ccco1,0,39.21,142.8,C
c1ccco1,1,72.89,109.7,C
C(=O)(C)C#C,2,151.17,32.2,C
C(=O)(C)C#C,0,-7.09,183.8,C
C(=O)(C)C#C,3,102.3,81.9,C
C(=O)(C)C#C,4,101.87,78.8,C
c1cccs1,0,53.22,125,C
c1cccs1,1,55.31,126.7,C
C1(=C(C(=O)OC1)Cl)Cl,2,14.98,165.7,C
C1(=C(C(=O)OC1)Cl)Cl,1,57.61,121.2,C
C1(=C(C(=O)OC1)Cl)Cl,0,20.95,148.9,C
C1(=C(C(=O)OC1)Cl)Cl,5,113.1,70.9,C
c1scc(C)n1,0,24.91,152.14,C
c1scc(C)n1,2,66.96,113.11,C
c1scc(C)n1,3,26.29,153.49,C
c1scc(C)n1,4,169.15,16.77,C
c1ncccn1,0,20.55,159.2,C
c1ncccn1,2,22.31,157.6,C
c1ncccn1,3,59.88,122.6,C
c1cnccn1,0,34.95,146.1,C
n1ccccn1,2,53.89,127.7,C
n1ccccn1,1,27.89,152.6,C
C1CCCC1,0,159.96,26.5,C
C(=CC)(C)C,3,167,17.3,C
C(=CC)(C)C,0,42.13,132,C
C(=CC)(C)C,1,62.46,118.8,C
C(=CC)(C)C,2,174.34,13.4,C
C(=CC)(C)C,4,166.91,25.6,C
C1CC=CC1,0,160.81,22.98,C
C1CC=CC1,1,151.39,32.59,C
C1CC=CC1,2,47.37,130.77,C
C1CCOCC1,0,161.2,24,C
C1CCOCC1,1,157.95,27.1,C
C1CCOCC1,2,116.7,68.8,C
C1CCN(C1)C,5,145.26,42.9,C
C1CCN(C1)C,4,129.83,56.9,C
C1CCN(C1)C,1,164.55,24.6,C
C1CCC(=O)C1,3,-45.1,219.6,C
C1CCC(=O)C1,2,145.05,38.2,C
C1CCC(=O)C1,0,160.61,23.4,C
CC(C)(C)C#N,4,49.22,125.9,C
CC(C)(C)C#N,1,154.26,28.12,C
CC(C)(C)C#N,0,159.2,28.41,C
C1CC=CC1=O,4,-31.29,210.45,C
C1CC=CC1=O,3,47.61,134.37,C
C1CC=CC1=O,2,7.88,165.25,C
C1CC=CC1=O,1,153.82,29.03,C
C1CC=CC1=O,0,149.99,34.02,C
c1cccn1C,5,150.78,35.6,C
c1cccn1C,0,60.71,121.6,C
c1cccn1C,1,76.4,108.3,C
c1ccc(o1)C=O,3,29.4,153.3,C
c1ccc(o1)C=O,2,55.8,121.9,C
c1ccc(o1)C=O,1,69.56,112.9,C
c1ccc(o1)C=O,0,32.5,148.6,C
c1ccc(o1)C=O,5,3.57,178.1,C
c1ccccn1,0,30.53,149.9,C
c1ccccn1,1,57.9,123.7,C
c1ccccn1,2,43.94,135.7,C
C=CC(C)(C)C,0,73.94,109,C
C=CC(C)(C)C,1,25.72,149.8,C
C=CC(C)(C)C,2,149.03,33.7,C
C=CC(C)(C)C,3,157.46,29.4,C
C1CCCCC1,0,158.05,27.3,C
CC(C)(C)C#C,1,156.15,27.25,C
CC(C)(C)C#C,4,86.93,92.7,C
CC(C)(C)C#C,5,116.29,66.52,C
CC(C)(C)C#C,2,156.7,30.92,C
C1CCC=CC1,3,50.98,127.3,C
C1CCC=CC1,2,159.02,25.4,C
C1CCC=CC1,0,162.21,22.9,C
c1ccccc1,0,53.28,128.5,C
C1CCN(CC1)C,6,147.86,46.85,C
C1CCN(CC1)C,2,132.26,56.59,C
C1CCN(CC1)C,1,166.66,26.01,C
C1CCN(CC1)C,0,158.79,23.85,C
C1CCC(=O)CC1,2,141.56,41.9,C
C1CCC(=O)CC1,1,156.26,27.2,C
C1CCC(=O)CC1,0,159.22,25.1,C
C1CC(=O)C=CC1,2,-20.32,198.7,C
C1CC(=O)C=CC1,4,52.33,129.8,C
C1CC(=O)C=CC1,5,22.98,150.6,C
C1CC(=O)C=CC1,6,157.5,25.8,C
C1CC(=O)C=CC1,0,160.73,22.9,C
C1CC(=O)C=CC1,1,145.49,38.2,C
c1ccc(cc1)F,3,16.6,163.3,C
c1ccc(cc1)F,2,66.8,115.5,C
c1ccc(cc1)F,1,51.21,130.2,C
c1ccc(cc1)F,0,57.76,124.2,C
c1ccc(cc1)Cl,3,42.36,134.4,C
c1ccc(cc1)Cl,2,52.83,128.6,C
c1ccc(cc1)Cl,1,51.46,129.7,C
c1ccc(cc1)Cl,0,54.8,126.4,C
c1ccc(cc1)N(=O)=O,3,33.28,148.3,C
c1ccc(cc1)N(=O)=O,2,57.5,123.5,C
c1ccc(cc1)N(=O)=O,1,52.17,129.5,C
c1ccc(cc1)N(=O)=O,0,44.35,134.8,C
C1=CC(=O)C=CC1=O,2,-9.48,187.2,C
C1=CC(=O)C=CC1=O,0,44.16,136.6,C
c1c(cccc1)C,6,165.16,21.4,C
c1c(cccc1)C,1,41,137.7,C
c1c(cccc1)C,0,52.9,130,C
c1c(cccc1)C,5,53.42,129.2,C
c1c(cccc1)C,4,57.15,126.6,C
C1=C[C@H]2C[C@@H]1C=C2,3,105.55,75.2,C
C1=C[C@H]2C[C@@H]1C=C2,2,131.45,50.3,C
C1=C[C@H]2C[C@@H]1C=C2,0,33.31,143.2,C
c1c(cccc1)N(C)C,1,30.78,150.7,C
c1c(cccc1)N(C)C,0,71.48,112.7,C
c1c(cccc1)N(C)C,5,52.77,129,C
c1c(cccc1)N(C)C,4,68.57,116.6,C
c1c(cccc1)N(C)C,7,146.67,40.2,C
c12c(cccc1)cc[nH]2,7,56.56,121.7,C
c12c(cccc1)cc[nH]2,6,82.81,101.9,C
c12c(cccc1)cc[nH]2,1,54.6,127.6,C
c12c(cccc1)cc[nH]2,0,46.67,135.6,C
c12c(cccc1)cc[nH]2,5,71.37,111.1,C
c12c(cccc1)cc[nH]2,4,61.13,124.3,C
c12c(cccc1)cc[nH]2,3,63.68,119.7,C
c12c(cccc1)cc[nH]2,2,62.32,120.6,C
C(=S)=NC,3,159.18,30.48,C
C(=S)=NC,0,60.09,128.9,C
C(=O)/C=C/C,0,-14.94,194.04,C
C(=O)/C=C/C,2,47.44,134.61,C
C(=O)/C=C/C,3,17.27,154.32,C
C(=O)/C=C/C,4,165.81,18.61,C
C(=C(\C)/C(C)C)\C,6,172.72,13.21,C
C(=C(\C)/C(C)C)\C,0,64.84,115.93,C
C(=C(\C)/C(C)C)\C,1,36.1,141.69,C
C(=C(\C)/C(C)C)\C,3,146.83,36.99,C
C(=C(\C)/C(C)C)\C,4,165.37,21.52,C
C(=C(\C)/C(C)C)\C,2,167.44,13.06,C
O1C(=O)C=CC1=O,1,13.4,164.58,C
O1C(=O)C=CC1=O,3,42.5,136.76,C
C1OCC=C1,0,107.48,75.42,C
C1OCC=C1,3,52.9,126.34,C
c1ccccn1,0,30.53,149.94,C
c1ccccn1,1,57.9,123.55,C
c1ccccn1,2,43.94,135.89,C
c1c(nccn1)C,1,23.87,154.11,C
c1c(nccn1)C,0,36.5,144.85,C
c1c(nccn1)C,4,38.8,141.9,C
c1c(nccn1)C,3,36.15,143.9,C
c1c(nccn1)C,6,164.65,21.53,C
C1CC(=C)C1,3,80.85,104.79,C
C1CC(=C)C1,2,22.22,150.62,C
C1CC(=C)C1,1,152.53,32.08,C
C1CC(=C)C1,0,168.78,16.76,C
C1COCOC1,3,91.27,94.28,C
C1COCOC1,1,118.58,66.94,C
C1COCOC1,0,157.77,26.64,C
C(C)(OC)OC,0,81.53,101.24,C
C(C)(OC)OC,1,168.76,18.8,C
C(C)(OC)OC,3,131.79,52.31,C
c1ccc(s1)C,3,34.53,139.5,C
c1ccc(s1)C,2,57.66,125.14,C
c1ccc(s1)C,1,56,126.86,C
c1ccc(s1)C,0,54.46,123.03,C
c1ccc(s1)C,5,170.74,14.95,C
C(C#N)C#N,0,177.37,8.77,C
C(C#N)C#N,1,65.37,109.35,C
C1COC(=O)O1,3,24.29,155.92,C
C1COC(=O)O1,0,120.3,65.05,C
C(C)SCC,3,152.24,25.5,C
C(C)SCC,4,173.66,14.8,C
C(=C\C#N)/C#N,0,57.6,119.33,C
C(=C\C#N)/C#N,2,62.27,114.26,C
[C@H]1(CC(=O)O1)C,2,10.38,168.39,C
[C@H]1(CC(=O)O1)C,1,140.21,44.36,C
[C@H]1(CC(=O)O1)C,0,117.32,68.12,C
[C@H]1(CC(=O)O1)C,5,166.48,20.58,C
N(C)(C)C(CO)(C)C,4,115.97,68.23,C
N(C)(C)C(CO)(C)C,3,127.32,57.04,C
N(C)(C)C(CO)(C)C,1,148.99,38.23,C
N(C)(C)C(CO)(C)C,6,162.96,19.72,C
OCCNCCCC,1,122.69,60.46,C
OCCNCCCC,2,134.61,51.69,C
OCCNCCCC,4,133.64,49.56,C
OCCNCCCC,5,150.42,32.15,C
OCCNCCCC,6,163.22,20.53,C
OCCNCCCC,7,172.3,14.01,C
COCCNC(C)C,2,113.54,72.22,C
COCCNC(C)C,0,127.72,58.75,C
COCCNC(C)C,5,139.34,48.69,C
COCCNC(C)C,3,140.86,46.99,C
COCCNC(C)C,6,162.86,22.86,C
CCCOCCCN,2,111.39,72.75,C
CCCOCCCN,4,115.32,69.01,C
CCCOCCCN,6,145.42,39.61,C
CCCOCCCN,5,150.17,33.43,C
CCCOCCCN,1,160.52,23.01,C
CCCOCCCN,0,177.45,10.6,C
OCCCCCCN,1,120.77,61.69,C
OCCCCCCN,6,140.87,41.85,C
OCCCCCCN,5,149.66,33.33,C
OCCCCCCN,2,151.58,32.78,C
OCCCCCCN,4,155.67,26.69,C
OCCCCCCN,3,157.92,25.75,C
OC[C@@H](N)[C@@H](C)CC,1,121.74,64.23,C
OC[C@@H](N)[C@@H](C)CC,2,125.34,57.1,C
OC[C@@H](N)[C@@H](C)CC,4,141.76,38.14,C
OC[C@@H](N)[C@@H](C)CC,6,158.78,25.39,C
OC[C@@H](N)[C@@H](C)CC,5,173.72,15.21,C
OC[C@@H](N)[C@@H](C)CC,7,174.94,11.38,C
OC[C@@H](N)CC(C)C,1,118.78,66.77,C
OC[C@@H](N)CC(C)C,2,132.71,50.74,C
OC[C@@H](N)CC(C)C,4,142.53,43.31,C
OC[C@@H](N)CC(C)C,5,159.86,24.73,C
OCCCCNCC,1,120.71,62.03,C
OCCCCNCC,4,133.59,49.23,C
OCCCCNCC,6,141.48,43.61,C
OCCCCNCC,2,154.62,31.84,C
OCCCCNCC,3,158.65,27.84,C
OCCCCNCC,7,171.34,14.73,C
C([C@H](CCCC)N)O,0,114.69,66.42,C
